"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"79","vedtak","prosent","2015","98.6666666666667","bosatt_anmodede"
"80","vedtak","prosent","2015","75","bosatt_anmodede"
"81","vedtak","prosent","2015","88.8888888888889","bosatt_anmodede"
"82","vedtak","prosent","2015","44.4444444444444","bosatt_anmodede"
"83","vedtak","prosent","2015","87","bosatt_anmodede"
"99","vedtak","prosent","2015",".","bosatt_anmodede"
"01","bosatt","prosent","2015","163.333333333333","bosatt_anmodede"
"02","bosatt","prosent","2015","55.8620689655172","bosatt_anmodede"
"03","bosatt","prosent","2015","91.1111111111111","bosatt_anmodede"
"04","bosatt","prosent","2015","121.764705882353","bosatt_anmodede"
"05","bosatt","prosent","2015","96.734693877551","bosatt_anmodede"
"06","bosatt","prosent","2015","120.855614973262","bosatt_anmodede"
"07","bosatt","prosent","2015","121.818181818182","bosatt_anmodede"
"08","bosatt","prosent","2015","78.4","bosatt_anmodede"
"09","bosatt","prosent","2015","95","bosatt_anmodede"
"10","bosatt","prosent","2015","115","bosatt_anmodede"
"11","bosatt","prosent","2015","76.3636363636364","bosatt_anmodede"
"12","bosatt","prosent","2015","80.625","bosatt_anmodede"
"13","bosatt","prosent","2015","90.5263157894737","bosatt_anmodede"
"14","bosatt","prosent","2015","113.846153846154","bosatt_anmodede"
"15","bosatt","prosent","2015","101.176470588235","bosatt_anmodede"
"16","bosatt","prosent","2015","115.294117647059","bosatt_anmodede"
"17","bosatt","prosent","2015","110","bosatt_anmodede"
"18","bosatt","prosent","2015","100","bosatt_anmodede"
"19","bosatt","prosent","2015","109.230769230769","bosatt_anmodede"
"20","bosatt","prosent","2015","109.275362318841","bosatt_anmodede"
"21","bosatt","prosent","2015","113.333333333333","bosatt_anmodede"
"22","bosatt","prosent","2015","96.4285714285714","bosatt_anmodede"
"23","bosatt","prosent","2015","126.666666666667","bosatt_anmodede"
"24","bosatt","prosent","2015","131.666666666667","bosatt_anmodede"
"25","bosatt","prosent","2015","125.210084033613","bosatt_anmodede"
"26","bosatt","prosent","2015","142.4","bosatt_anmodede"
"27","bosatt","prosent","2015","78.5074626865672","bosatt_anmodede"
"28","bosatt","prosent","2015","111.688311688312","bosatt_anmodede"
"29","bosatt","prosent","2015","144","bosatt_anmodede"
"30","bosatt","prosent","2015","110.769230769231","bosatt_anmodede"
"31","bosatt","prosent","2015","52","bosatt_anmodede"
"32","bosatt","prosent","2015","101.090909090909","bosatt_anmodede"
"33","bosatt","prosent","2015","123.529411764706","bosatt_anmodede"
"34","bosatt","prosent","2015","108.888888888889","bosatt_anmodede"
"35","bosatt","prosent","2015","94.5679012345679","bosatt_anmodede"
"36","bosatt","prosent","2015","89.3333333333333","bosatt_anmodede"
"37","bosatt","prosent","2015","96.039603960396","bosatt_anmodede"
"38","bosatt","prosent","2015","118.604651162791","bosatt_anmodede"
"39","bosatt","prosent","2015","100.729927007299","bosatt_anmodede"
"40","bosatt","prosent","2015","100.285714285714","bosatt_anmodede"
"41","bosatt","prosent","2015","92.5","bosatt_anmodede"
"42","bosatt","prosent","2015","57","bosatt_anmodede"
"43","bosatt","prosent","2015","143.333333333333","bosatt_anmodede"
"44","bosatt","prosent","2015","97.5308641975309","bosatt_anmodede"
"45","bosatt","prosent","2015","91.6666666666667","bosatt_anmodede"
"46","bosatt","prosent","2015","82.0689655172414","bosatt_anmodede"
"47","bosatt","prosent","2015","111.304347826087","bosatt_anmodede"
"48","bosatt","prosent","2015","65.2173913043478","bosatt_anmodede"
"49","bosatt","prosent","2015","137.735849056604","bosatt_anmodede"
"50","bosatt","prosent","2015","118.260869565217","bosatt_anmodede"
"51","bosatt","prosent","2015","133","bosatt_anmodede"
"52","bosatt","prosent","2015","110.695187165775","bosatt_anmodede"
"53","bosatt","prosent","2015","92.9032258064516","bosatt_anmodede"
"54","bosatt","prosent","2015","50.7462686567164","bosatt_anmodede"
"55","bosatt","prosent","2015","100","bosatt_anmodede"
"56","bosatt","prosent","2015","81.1111111111111","bosatt_anmodede"
"57","bosatt","prosent","2015","76.6666666666667","bosatt_anmodede"
"58","bosatt","prosent","2015","90","bosatt_anmodede"
