"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"030113","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030114","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030115","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030116","treaar","alle","alle","2012","prosent",":","intro_status_arbutd"
"030117","treaar","alle","alle","2012","prosent","0","intro_status_arbutd"
"030199","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"0301","treaar","alle","arbutd","2012","personer","129","intro_status_arbutd"
"030101","treaar","alle","arbutd","2012","personer",":","intro_status_arbutd"
"030102","treaar","alle","arbutd","2012","personer","6","intro_status_arbutd"
"030103","treaar","alle","arbutd","2012","personer","3","intro_status_arbutd"
"030104","treaar","alle","arbutd","2012","personer","5","intro_status_arbutd"
"030105","treaar","alle","arbutd","2012","personer","10","intro_status_arbutd"
"030106","treaar","alle","arbutd","2012","personer","8","intro_status_arbutd"
"030107","treaar","alle","arbutd","2012","personer","6","intro_status_arbutd"
"030108","treaar","alle","arbutd","2012","personer","7","intro_status_arbutd"
"030109","treaar","alle","arbutd","2012","personer","9","intro_status_arbutd"
"030110","treaar","alle","arbutd","2012","personer","15","intro_status_arbutd"
"030111","treaar","alle","arbutd","2012","personer","12","intro_status_arbutd"
"030112","treaar","alle","arbutd","2012","personer","19","intro_status_arbutd"
"030113","treaar","alle","arbutd","2012","personer",":","intro_status_arbutd"
"030114","treaar","alle","arbutd","2012","personer","4","intro_status_arbutd"
"030115","treaar","alle","arbutd","2012","personer","7","intro_status_arbutd"
"030116","treaar","alle","arbutd","2012","personer",":","intro_status_arbutd"
"030117","treaar","alle","arbutd","2012","personer","0","intro_status_arbutd"
"030199","treaar","alle","arbutd","2012","personer","4","intro_status_arbutd"
"0301","treaar","alle","ledig_tiltak","2012","personer","30","intro_status_arbutd"
"030101","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030102","treaar","alle","ledig_tiltak","2012","personer","5","intro_status_arbutd"
"030103","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030104","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030105","treaar","alle","ledig_tiltak","2012","personer","0","intro_status_arbutd"
"030106","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030107","treaar","alle","ledig_tiltak","2012","personer","0","intro_status_arbutd"
"030108","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030109","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030110","treaar","alle","ledig_tiltak","2012","personer","0","intro_status_arbutd"
"030111","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030112","treaar","alle","ledig_tiltak","2012","personer","5","intro_status_arbutd"
"030113","treaar","alle","ledig_tiltak","2012","personer","4","intro_status_arbutd"
"030114","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030115","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"030116","treaar","alle","ledig_tiltak","2012","personer","0","intro_status_arbutd"
"030117","treaar","alle","ledig_tiltak","2012","personer","0","intro_status_arbutd"
"030199","treaar","alle","ledig_tiltak","2012","personer",":","intro_status_arbutd"
"0301","treaar","alle","annet","2012","personer","69","intro_status_arbutd"
"030101","treaar","alle","annet","2012","personer","10","intro_status_arbutd"
"030102","treaar","alle","annet","2012","personer","6","intro_status_arbutd"
"030103","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030104","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030105","treaar","alle","annet","2012","personer","4","intro_status_arbutd"
"030106","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030107","treaar","alle","annet","2012","personer","5","intro_status_arbutd"
"030108","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030109","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030110","treaar","alle","annet","2012","personer","4","intro_status_arbutd"
"030111","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030112","treaar","alle","annet","2012","personer","8","intro_status_arbutd"
"030113","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030114","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030115","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"030116","treaar","alle","annet","2012","personer","0","intro_status_arbutd"
"030117","treaar","alle","annet","2012","personer","0","intro_status_arbutd"
"030199","treaar","alle","annet","2012","personer",":","intro_status_arbutd"
"0301","treaar","alle","arbutd","2012","prosent","57","intro_status_arbutd"
"030101","treaar","alle","arbutd","2012","prosent",":","intro_status_arbutd"
"030102","treaar","alle","arbutd","2012","prosent","35","intro_status_arbutd"
"030103","treaar","alle","arbutd","2012","prosent","30","intro_status_arbutd"
"030104","treaar","alle","arbutd","2012","prosent","71","intro_status_arbutd"
"030105","treaar","alle","arbutd","2012","prosent","71","intro_status_arbutd"
"030106","treaar","alle","arbutd","2012","prosent","57","intro_status_arbutd"
"030107","treaar","alle","arbutd","2012","prosent","55","intro_status_arbutd"
"030108","treaar","alle","arbutd","2012","prosent","58","intro_status_arbutd"
"030109","treaar","alle","arbutd","2012","prosent","64","intro_status_arbutd"
"030110","treaar","alle","arbutd","2012","prosent","79","intro_status_arbutd"
"030111","treaar","alle","arbutd","2012","prosent","71","intro_status_arbutd"
"030112","treaar","alle","arbutd","2012","prosent","59","intro_status_arbutd"
"030113","treaar","alle","arbutd","2012","prosent",":","intro_status_arbutd"
"030114","treaar","alle","arbutd","2012","prosent","50","intro_status_arbutd"
"030115","treaar","alle","arbutd","2012","prosent","58","intro_status_arbutd"
"030116","treaar","alle","arbutd","2012","prosent",":","intro_status_arbutd"
"030117","treaar","alle","arbutd","2012","prosent","0","intro_status_arbutd"
"030199","treaar","alle","arbutd","2012","prosent","40","intro_status_arbutd"
"0301","treaar","alle","ledig_tiltak","2012","prosent","13","intro_status_arbutd"
"030101","treaar","alle","ledig_tiltak","2012","prosent",":","intro_status_arbutd"
"030102","treaar","alle","ledig_tiltak","2012","prosent","29","intro_status_arbutd"
