"naringsregion_nr","tilskudd_til_kommuner","tabellvariabel","tabell_navn","aar","enhet"
"30","funkhem",0,"tilskudd","2015","kroner"
"31","funkhem",0,"tilskudd","2015","kroner"
"32","funkhem",14751833,"tilskudd","2015","kroner"
"33","funkhem",6987239,"tilskudd","2015","kroner"
"34","funkhem",10713481,"tilskudd","2015","kroner"
"35","funkhem",26844043,"tilskudd","2015","kroner"
"36","funkhem",1453755,"tilskudd","2015","kroner"
"37","funkhem",4393039,"tilskudd","2015","kroner"
"38","funkhem",2842917,"tilskudd","2015","kroner"
"39","funkhem",9964757.45,"tilskudd","2015","kroner"
"40","funkhem",3923907,"tilskudd","2015","kroner"
"41","funkhem",5910530,"tilskudd","2015","kroner"
"42","funkhem",1868323,"tilskudd","2015","kroner"
"43","funkhem",0,"tilskudd","2015","kroner"
"44","funkhem",0,"tilskudd","2015","kroner"
"45","funkhem",0,"tilskudd","2015","kroner"
"46","funkhem",612096,"tilskudd","2015","kroner"
"47","funkhem",0,"tilskudd","2015","kroner"
"48","funkhem",0,"tilskudd","2015","kroner"
"49","funkhem",7758200,"tilskudd","2015","kroner"
"50","funkhem",0,"tilskudd","2015","kroner"
"51","funkhem",539440,"tilskudd","2015","kroner"
"52","funkhem",1273095,"tilskudd","2015","kroner"
"53","funkhem",7110582,"tilskudd","2015","kroner"
"54","funkhem",0,"tilskudd","2015","kroner"
"55","funkhem",8420143,"tilskudd","2015","kroner"
"56","funkhem",1321438,"tilskudd","2015","kroner"
"57","funkhem",0,"tilskudd","2015","kroner"
"58","funkhem",0,"tilskudd","2015","kroner"
"59","funkhem",0,"tilskudd","2015","kroner"
"60","funkhem",0,"tilskudd","2015","kroner"
"61","funkhem",41560934,"tilskudd","2015","kroner"
"62","funkhem",0,"tilskudd","2015","kroner"
"63","funkhem",892823,"tilskudd","2015","kroner"
"64","funkhem",6180197,"tilskudd","2015","kroner"
"65","funkhem",0,"tilskudd","2015","kroner"
"66","funkhem",688405,"tilskudd","2015","kroner"
"67","funkhem",1159300,"tilskudd","2015","kroner"
"68","funkhem",170500,"tilskudd","2015","kroner"
"69","funkhem",0,"tilskudd","2015","kroner"
"70","funkhem",0,"tilskudd","2015","kroner"
"71","funkhem",541935,"tilskudd","2015","kroner"
"72","funkhem",764000,"tilskudd","2015","kroner"
"73","funkhem",7736391,"tilskudd","2015","kroner"
"74","funkhem",390196,"tilskudd","2015","kroner"
"75","funkhem",5379050,"tilskudd","2015","kroner"
"76","funkhem",1705800,"tilskudd","2015","kroner"
"77","funkhem",4766179,"tilskudd","2015","kroner"
"78","funkhem",2974080,"tilskudd","2015","kroner"
"79","funkhem",3354203,"tilskudd","2015","kroner"
"80","funkhem",0,"tilskudd","2015","kroner"
"81","funkhem",1936230,"tilskudd","2015","kroner"
"82","funkhem",0,"tilskudd","2015","kroner"
"83","funkhem",3264665,"tilskudd","2015","kroner"
"99","funkhem",0,"tilskudd","2015","kroner"
"01","inttilsk_1",10132000,"tilskudd","2015","kroner"
"02","inttilsk_1",14441000,"tilskudd","2015","kroner"
"03","inttilsk_1",15638000,"tilskudd","2015","kroner"
"04","inttilsk_1",24231000,"tilskudd","2015","kroner"
"05","inttilsk_1",40997000,"tilskudd","2015","kroner"
"06","inttilsk_1",47584000,"tilskudd","2015","kroner"
"07","inttilsk_1",58840000,"tilskudd","2015","kroner"
"08","inttilsk_1",24056000,"tilskudd","2015","kroner"
"09","inttilsk_1",125216500,"tilskudd","2015","kroner"
"10","inttilsk_1",14592800,"tilskudd","2015","kroner"
"11","inttilsk_1",17428000,"tilskudd","2015","kroner"
"12","inttilsk_1",28645000,"tilskudd","2015","kroner"
"13","inttilsk_1",16845800,"tilskudd","2015","kroner"
"14","inttilsk_1",32881000,"tilskudd","2015","kroner"
"15","inttilsk_1",21263000,"tilskudd","2015","kroner"
"16","inttilsk_1",21648000,"tilskudd","2015","kroner"
"17","inttilsk_1",3763000,"tilskudd","2015","kroner"
"18","inttilsk_1",17130000,"tilskudd","2015","kroner"
"19","inttilsk_1",9472000,"tilskudd","2015","kroner"
"20","inttilsk_1",69793000,"tilskudd","2015","kroner"
"21","inttilsk_1",16567000,"tilskudd","2015","kroner"
"22","inttilsk_1",14411000,"tilskudd","2015","kroner"
"23","inttilsk_1",11409000,"tilskudd","2015","kroner"
"24","inttilsk_1",15639000,"tilskudd","2015","kroner"
"25","inttilsk_1",49743000,"tilskudd","2015","kroner"
"26","inttilsk_1",35543000,"tilskudd","2015","kroner"
"27","inttilsk_1",64633000,"tilskudd","2015","kroner"
"28","inttilsk_1",14538000,"tilskudd","2015","kroner"
"29","inttilsk_1",28432000,"tilskudd","2015","kroner"
"30","inttilsk_1",11826000,"tilskudd","2015","kroner"
