"kommune_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"1822","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1824","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"1825","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1826","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1827","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1828","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1832","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1833","ettaar","alle","alle","2014","personer","29","intro_status_arbutd"
"1834","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1835","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1836","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1837","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1838","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1839","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1840","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1841","ettaar","alle","alle","2014","personer","15","intro_status_arbutd"
"1845","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1848","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1849","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1850","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1851","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1852","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1853","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1854","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1856","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1857","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1859","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1860","ettaar","alle","alle","2014","personer","21","intro_status_arbutd"
"1865","ettaar","alle","alle","2014","personer","15","intro_status_arbutd"
"1866","ettaar","alle","alle","2014","personer","16","intro_status_arbutd"
"1867","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1868","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1870","ettaar","alle","alle","2014","personer","19","intro_status_arbutd"
"1871","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"1874","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1902","ettaar","alle","alle","2014","personer","71","intro_status_arbutd"
"1903","ettaar","alle","alle","2014","personer","52","intro_status_arbutd"
"1911","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"1913","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1917","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1919","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1920","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1922","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1923","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1924","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1925","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1926","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1927","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1928","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1929","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"1931","ettaar","alle","alle","2014","personer","20","intro_status_arbutd"
"1933","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
