"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
1017,2015,"kroner","tilskudd",48800,550000,0,191300,3991151,7957000,18772700,10815700,3214625,0,26768576,26768576,0
1018,2015,"kroner","tilskudd",24400,0,0,1147800,982903,3478000,15046600,11568600,2940587.5,0,20142290.5,20142290.5,0
1021,2015,"kroner","tilskudd",47800,0,0,0,989205,2247000,5554400,3307400,966262.5,0,7557667.5,7557667.5,0
1026,2015,"kroner","tilskudd",0,0,0,0,0,0,840000,840000,385300,0,1225300,1225300,0
1027,2015,"kroner","tilskudd",24400,100000,0,0,0,2880000,4796000,1916000,1417937.5,0,6338337.5,6338337.5,0
1029,2015,"kroner","tilskudd",24400,0,0,79708,2966756,2559000,8190000,5631000,1694025,0,12954889,12954889,0
1032,2015,"kroner","tilskudd",243000,400000,0,191300,3143298,9861000,20366400,10505400,11518445,0,35862443,35862443,0
1034,2015,"kroner","tilskudd",24400,0,0,0,0,996000,2630400,1634400,1114200,0,3769000,3769000,0
1037,2015,"kroner","tilskudd",71200,250000,0,191300,341000,6403000,19020000,12617000,8011937.49,0,27885437.49,27885437.49,-0.00000000372529029846191
1046,2015,"kroner","tilskudd",0,0,0,0,0,960000,3461000,2501000,962700,0,4423700,4423700,0
1101,2015,"kroner","tilskudd",194200,0,157500,2167083,1453755,11320400,35031200,23710800,5246750,0,44250488,44250488,0
1102,2015,"kroner","tilskudd",120000,400000,157500,4175734,4820835.45,18852000,58864500,40012500,25621741.66,0,94160311.11,94160311.11,0
1103,2015,"kroner","tilskudd",267400,0,472500,10807468,4953102,22421000,78776900,56355900,29154150,0,124431520,124431520,0
1106,2015,"kroner","tilskudd",241000,1600000,315000,0,2082023,18798400,45848000,27049600,12851587.5,0,62937610.5,62937610.5,0
1111,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,1210000,0,1210000,1210000,0
1112,2015,"kroner","tilskudd",24400,0,0,191300,0,1706000,6497800,4791800,4155429.16,0,10868929.16,10868929.16,0
1114,2015,"kroner","tilskudd",0,0,0,0,0,1001800,2961800,1960000,875000,0,3836800,3836800,0
1119,2015,"kroner","tilskudd",191700,0,0,0,0,7860000,16265700,8405700,10221470.83,0,26678870.83,26678870.83,0
1120,2015,"kroner","tilskudd",72200,0,630000,382600,190820,6721000,21362600,14641600,4522175,0,27160395,27160395,0
1121,2015,"kroner","tilskudd",120000,0,0,191300,0,6166000,20767800,14601800,4096087.5,0,25175187.5,25175187.5,0
1122,2015,"kroner","tilskudd",73200,0,0,382600,0,5032000,14208000,9176000,2578362.5,0,17242162.5,17242162.5,0
1124,2015,"kroner","tilskudd",24400,0,157500,382600,0,3450000,15369850,11919850,5395237.5,0,21329587.5,21329587.5,0
1127,2015,"kroner","tilskudd",195200,0,0,2183516,0,8514000,21275800,12761800,3454287.5,0,27108803.5,27108803.5,0
1129,2015,"kroner","tilskudd",0,400000,0,0,0,2598000,2695600,97600,297150,0,3392750,3392750,0
1130,2015,"kroner","tilskudd",0,100000,0,573900,710184,7235000,22486400,15251400,6708333.33,0,30578817.33,30578817.33,0
1133,2015,"kroner","tilskudd",48800,0,0,0,415292,2980000,7154000,4174000,1354487.5,0,8972579.5,8972579.5,0
1134,2015,"kroner","tilskudd",73200,100000,0,0,1717441,4861000,12427200,7566200,1504412.5,0,15822253.5,15822253.5,0
1135,2015,"kroner","tilskudd",72200,0,0,0,0,7648800,14041600,6392800,1970737.5,0,16084537.5,16084537.5,0
1141,2015,"kroner","tilskudd",0,150000,0,255067,0,2052000,2122000,70000,833600,0,3360667,3360667,0
1142,2015,"kroner","tilskudd",24400,0,0,382600,0,1216000,6309600,5093600,1512675,0,8229275,8229275,0
1144,2015,"kroner","tilskudd",23400,0,0,0,0,531000,1161000,630000,327500,0,1511900,1511900,0
1145,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,373400,0,373400,373400,0
1146,2015,"kroner","tilskudd",24400,0,157500,0,2135116,6634000,17269800,10635800,2958900,0,22545716,22545716,0
1149,2015,"kroner","tilskudd",217600,0,0,573900,175900,11568500,34875700,23307200,5864587.5,0,41707687.5,41707687.5,0
1151,2015,"kroner","tilskudd",24400,0,0,0,0,364000,364000,0,252025,0,640425,640425,0
1160,2015,"kroner","tilskudd",122000,50000,0,0,0,4321000,9971400,5650400,1634625,0,11778025,11778025,0
1201,2015,"kroner","tilskudd",964000,0,309700,21790785,3923907,71960000,277846750,205886750,60448950,11400,365295492,365295492,0
1211,2015,"kroner","tilskudd",24400,100000,0,0,0,4008000,8252000,4244000,1372837.5,0,9749237.5,9749237.5,0
1216,2015,"kroner","tilskudd",73200,0,0,0,0,2973000,10101000,7128000,1654025,0,11828225,11828225,0
1219,2015,"kroner","tilskudd",95600,0,0,2019675,612096,6785000,20147800,13362800,5694808.32,0,28569979.32,28569979.32,0
1221,2015,"kroner","tilskudd",145400,0,157500,364200,0,7538000,16276800,8738800,6028775,0,22972675,22972675,0
1222,2015,"kroner","tilskudd",73200,0,0,0,0,1820000,1820000,0,835400,0,2728600,2728600,0
1223,2015,"kroner","tilskudd",23400,0,0,0,0,1479000,2949000,1470000,1048500,0,4020900,4020900,0
1224,2015,"kroner","tilskudd",73200,0,0,1530400,0,3776000,12497200,8721200,2079325,0,16180125,16180125,0
1227,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,315600,0,315600,315600,0
1228,2015,"kroner","tilskudd",122000,0,157500,95650,0,5664000,13512000,7848000,2873758.33,0,16760908.33,16760908.33,0
1231,2015,"kroner","tilskudd",24400,0,0,382600,0,1633000,11388000,9755000,4960912.49,0,16755912.49,16755912.49,0
1232,2015,"kroner","tilskudd",0,0,0,0,0,0,608000,608000,287700,0,895700,895700,0
1233,2015,"kroner","tilskudd",0,0,0,0,0,2520000,2520000,0,816625,0,3336625,3336625,0
1234,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,247800,0,247800,247800,0
1235,2015,"kroner","tilskudd",0,400000,0,382600,0,0,14174600,14174600,6929541.66,0,21886741.66,21886741.66,0
1238,2015,"kroner","tilskudd",48800,0,0,0,1868323,5948000,14994400,9046400,1989812.5,0,18901335.5,18901335.5,0
1241,2015,"kroner","tilskudd",73200,200000,0,0,0,2798000,3638000,840000,1178037.5,0,5089237.5,5089237.5,0
1242,2015,"kroner","tilskudd",0,0,0,0,5910530,572200,572200,0,904900,0,7387630,7387630,0
1243,2015,"kroner","tilskudd",48800,0,0,0,0,3212000,8901800,5689800,3239712.5,0,12190312.5,12190312.5,0
1244,2015,"kroner","tilskudd",0,0,0,0,0,546000,1748000,1202000,1193000,0,2941000,2941000,0
1245,2015,"kroner","tilskudd",48800,0,0,0,0,2042000,4610400,2568400,5142258.32,0,9801458.32,9801458.32,0
